epoch:0, train loss: 0.44010144712379823, test loss: 0.11051262834362784
epoch:1, train loss: 0.480833934659939, test loss: 0.14574142186908892
epoch:2, train loss: 0.41559868703384245, test loss: 0.11482624215763138
epoch:3, train loss: 0.5273543380357845, test loss: 0.12118477836091146
epoch:4, train loss: 0.4426503789740469, test loss: 0.08742074282617728
epoch:5, train loss: 0.34475046561197814, test loss: 0.08319195728247904
epoch:6, train loss: 0.3267175520272864, test loss: 0.07543356914402621
epoch:7, train loss: 0.31409527500127, test loss: 0.06913252291584067
epoch:8, train loss: 0.29231497454585287, test loss: 0.06700233396944848
epoch:9, train loss: 0.2957952808819296, test loss: 0.06773530110404646
epoch:10, train loss: 0.29392421943806923, test loss: 0.06384911233547734
epoch:11, train loss: 0.28798298853214666, test loss: 0.0650891907179053
epoch:12, train loss: 0.2826143339856832, test loss: 0.0608187778649106
epoch:13, train loss: 0.2777345018270487, test loss: 0.06246306795992051
epoch:14, train loss: 0.29564232645708727, test loss: 0.060438983626737476
epoch:15, train loss: 0.2865060659736937, test loss: 0.058349789940328384
epoch:16, train loss: 0.26347143714439686, test loss: 0.05850789454334086
epoch:17, train loss: 0.26069763064692164, test loss: 0.05745452273735673
epoch:18, train loss: 0.2735041832079857, test loss: 0.056257213916632014
epoch:19, train loss: 0.25190086069191636, test loss: 0.05614074256227071
epoch:20, train loss: 0.23763043489467053, test loss: 0.05588523003725711
epoch:21, train loss: 0.23307371989193995, test loss: 0.05486633117634449
epoch:22, train loss: 0.23209733742505206, test loss: 0.05014968707149459
epoch:23, train loss: 0.23869328558609562, test loss: 0.05190942069048555
epoch:24, train loss: 0.22586292397042798, test loss: 0.05378108606475034
epoch:25, train loss: 0.24228931220129934, test loss: 0.05020396486644778
epoch:26, train loss: 0.2252862577793571, test loss: 0.050027679576615594
epoch:27, train loss: 0.2191799451413722, test loss: 0.05830787230929061
epoch:28, train loss: 0.22949931712824367, test loss: 0.050980196237649954
epoch:29, train loss: 0.2426492688524758, test loss: 0.04886566118515943
epoch:30, train loss: 0.22739303282875925, test loss: 0.04892621118915461
epoch:31, train loss: 0.22194543771847822, test loss: 0.047891951833096746
epoch:32, train loss: 0.22437752604223368, test loss: 0.051233364041380125
epoch:33, train loss: 0.2571003175482536, test loss: 0.04682068035943045
epoch:34, train loss: 0.22788953233168788, test loss: 0.04550180672253944
epoch:35, train loss: 0.20899341409456057, test loss: 0.04449929734103297
epoch:36, train loss: 0.21248367209900068, test loss: 0.0445421763246132
epoch:37, train loss: 0.2142827792054136, test loss: 0.04320472802221507
epoch:38, train loss: 0.2139658802193685, test loss: 0.04281108904084536
epoch:39, train loss: 0.20608759900481555, test loss: 0.04247946389526213
epoch:40, train loss: 0.21136405152378338, test loss: 0.042723260899968016
epoch:41, train loss: 0.2151676150467854, test loss: 0.043728735137582575
epoch:42, train loss: 0.2123667577573307, test loss: 0.04190095808835324
epoch:43, train loss: 0.2053916667872556, test loss: 0.041960162703276356
epoch:44, train loss: 0.21034649395074684, test loss: 0.04242234792061889
epoch:45, train loss: 0.2106446891574057, test loss: 0.042781201201588945
epoch:46, train loss: 0.2340794182122845, test loss: 0.041682153056453446
epoch:47, train loss: 0.20923659293364202, test loss: 0.039911792755620706
epoch:48, train loss: 0.20076978762420372, test loss: 0.03974268485843022
epoch:49, train loss: 0.20895111942317737, test loss: 0.040840334688045016
epoch:50, train loss: 0.2152726173765827, test loss: 0.03974947380475032
epoch:51, train loss: 0.20639472229734848, test loss: 0.03910771267591129
epoch:52, train loss: 0.20662260314091763, test loss: 0.03933499984877458
epoch:53, train loss: 0.2066153695650215, test loss: 0.038179476432414164
epoch:54, train loss: 0.20121031651187612, test loss: 0.03824042925704276
epoch:55, train loss: 0.2084323863877176, test loss: 0.03843701707264178
epoch:56, train loss: 0.2103647430300412, test loss: 0.03912688990416121
epoch:57, train loss: 0.20999965414666952, test loss: 0.0374738450437557
epoch:58, train loss: 0.20216876512311846, test loss: 0.03646071606917043
epoch:59, train loss: 0.20503992790151554, test loss: 0.0356262263635805
epoch:60, train loss: 0.20111253330807946, test loss: 0.03586208708443428
epoch:61, train loss: 0.19690834610824204, test loss: 0.03501293208785286
epoch:62, train loss: 0.19976510738215889, test loss: 0.03613059994903774
epoch:63, train loss: 0.20137441817571997, test loss: 0.0354274348640107
epoch:64, train loss: 0.19823171933944633, test loss: 0.03484732362447477
epoch:65, train loss: 0.19813817452894938, test loss: 0.034810625080644704
epoch:66, train loss: 0.2044587590395635, test loss: 0.03528100554754456
epoch:67, train loss: 0.19975842617698575, test loss: 0.03528712203189372
epoch:68, train loss: 0.19374932970392567, test loss: 0.03454079273561519
epoch:69, train loss: 0.1972998195941712, test loss: 0.03350473361643174
epoch:70, train loss: 0.19409980171546407, test loss: 0.033781575321349726
epoch:71, train loss: 0.20327481533946293, test loss: 0.0337345344154508
epoch:72, train loss: 0.19862557595456068, test loss: 0.03355441615320896
epoch:73, train loss: 0.20037400197756305, test loss: 0.033476530626309765
epoch:74, train loss: 0.19407482463465073, test loss: 0.03288865462862377
epoch:75, train loss: 0.1918406062368403, test loss: 0.032404888417048285
epoch:76, train loss: 0.1892334490332886, test loss: 0.03208362056689643
epoch:77, train loss: 0.19258139272021915, test loss: 0.031430486758950736
epoch:78, train loss: 0.18987696096739373, test loss: 0.03171091265424087
epoch:79, train loss: 0.19732805207019286, test loss: 0.031471730465540915
epoch:80, train loss: 0.19078237138224777, test loss: 0.031614436589266846
epoch:81, train loss: 0.19469252847762544, test loss: 0.03080641210268823
epoch:82, train loss: 0.18976052538959431, test loss: 0.031074153723296832
epoch:83, train loss: 0.19086122776443334, test loss: 0.030415081772650267
epoch:84, train loss: 0.18678550475905212, test loss: 0.030719448650013508
epoch:85, train loss: 0.19058330497910791, test loss: 0.03038960925327271
epoch:86, train loss: 0.18798185782087215, test loss: 0.029897034254113598
epoch:87, train loss: 0.18838757852916313, test loss: 0.029259028219684374
epoch:88, train loss: 0.1860313309558164, test loss: 0.029651204250326704
epoch:89, train loss: 0.1866161484510338, test loss: 0.029066025381600902
epoch:90, train loss: 0.1849642136186814, test loss: 0.028658015120715696
epoch:91, train loss: 0.1822976415747783, test loss: 0.028208247533228956
epoch:92, train loss: 0.18510052098463445, test loss: 0.028329576975629926
epoch:93, train loss: 0.18078290958797646, test loss: 0.02802275334545756
epoch:94, train loss: 0.18350849072664424, test loss: 0.027814271884814223
epoch:95, train loss: 0.1808287657502605, test loss: 0.02742637473884354
epoch:96, train loss: 0.18297730049596836, test loss: 0.027009108899284994
epoch:97, train loss: 0.18045765247451556, test loss: 0.02671691292481045
epoch:98, train loss: 0.18203383791071182, test loss: 0.026970977758944796
epoch:99, train loss: 0.18071885322241252, test loss: 0.026477617141479018
